model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,bioasq,biored,discomat,evidence_inference,multicite,mup,qasper,scierc,scifact,mean,median,invert_toxigen,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Science Average,Combo,Order
llama_2_7b-tulu_none-science_100,llama_2_7b,tulu_none,0.0,science_100,1.0,N/A,0.337037037037037,0.3333333333333333,0.11676829268292682,0.1941656140808523,0.14,0.075,0.4060675117504629,0.4361914257228315,0.7982857142857143,0.30599755201958384,0.563661944688522,0.1581722285186091,0.04472049689440994,0.31064,0.50372,0.5615,0.00909,0.37171,0.08231,0.0,0.28571,0.37126,0.24838,0.28571,0.20171428571428573,0.259276117663422,0.2741705552731442,0.24838,Llama 2 7B -> Tulu None & Science 100,0.0
llama_2_7b-tulu_none-science_200,llama_2_7b,tulu_none,0.0,science_200,1.0,N/A,0.3324074074074074,0.33796296296296297,0.10853658536585366,0.17354632926538838,0.13,0.085,0.4057826520438684,0.4240848881925652,0.8182857142857143,0.2974296205630355,0.5528310461704344,0.15218742714313918,0.0546583850931677,0.28972,0.53174,0.57161,0.00291,0.48977,0.10007,0.0,0.34372,0.55363,0.30356,0.33434,0.18171428571428572,0.2553094586428477,0.2660462157821984,0.30356,Llama 2 7B -> Tulu None & Science 200,0.0
llama_2_7b-tulu_none-science_500,llama_2_7b,tulu_none,0.0,science_500,1.0,N/A,0.3694444444444445,0.3287037037037037,0.11280487804878049,0.18963825195419245,0.105,0.08,0.40257798034468023,0.4361914257228315,0.8115714285714286,0.3329253365973072,0.5550196563355209,0.14970901067277842,0.06218905472636816,0.36175,0.59427,0.52279,0.00979,0.47788,0.26061,0.20867,0.37883,0.58515,0.35648,0.37883,0.1884285714285714,0.25726674064515426,0.2756529119788856,0.35648,Llama 2 7B -> Tulu None & Science 500,0.0
llama_2_7b-tulu_none-science_2500,llama_2_7b,tulu_none,0.0,science_2500,1.0,N/A,0.3574074074074074,0.32222222222222224,0.1173780487804878,0.20383802842932197,0.11,0.05,0.41098134168921807,0.4339125480700755,0.8295714285714286,0.31334149326805383,0.534013772848527,0.15227054529664932,0.05962732919254658,0.34553,0.53942,0.52249,0.0026,0.54563,0.18729,0.14812,0.32979,0.6601,0.34454,0.34553,0.17042857142857137,0.2516159854065851,0.2699547430329558,0.34454,Llama 2 7B -> Tulu None & Science 2500,0.0
llama_2_7b-tulu_none-science_1000,llama_2_7b,tulu_none,0.0,science_1000,1.0,N/A,0.3574074074074075,0.3287037037037038,0.12317073170731707,0.1904728728569626,0.12,0.055,0.40962825808289416,0.4366187152827233,0.8488571428571429,0.33047735618115054,0.5410080778619137,0.1501193180647338,0.053482587064676616,0.34437,0.61871,0.5607,0.00284,0.54415,0.26423,0.09096,0.35614,0.56716,0.34779,0.35614,0.15114285714285713,0.2550385306735335,0.2692024270747328,0.34779,Llama 2 7B -> Tulu None & Science 1000,0.0
llama_2_7b-tulu_all-science_none-seed_42,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.4222222222222222,0.3916666666666667,0.23353658536585364,0.3451765519084103,0.3,0.065,0.5026349522859992,0.5132459763566444,0.8182857142857143,0.4944920440636475,0.5206222417587449,0.14561618829243303,0.34701492537313433,0.30522,0.15135,0.35319,0.0,0.33544,0.25419,0.0,0.21218,0.47423,0.21617,0.25419,0.18171428571428572,0.3103852321730403,0.38923465291580556,0.21617,Llama 2 7B -> Tulu All Seed 42 & Science None,1.0
llama_2_7b-tulu_all-science_none-seed_123,llama_2_7b,tulu_all,1.0,science_none,0.0,N/A,0.46018518518518514,0.39629629629629626,0.23353658536585364,0.3773078230008306,0.3,0.055,0.4995014955134596,0.5132459763566444,0.8264285714285714,0.4944920440636475,0.5206222417587449,0.14455902458326947,0.34285714285714286,0.30488,0.15135,0.35319,0.0,0.33588,0.25507,0.0,0.21269,0.48205,0.21674,0.25507,0.1735714285714286,0.309313976493118,0.39606717011880493,0.21674,Llama 2 7B -> Tulu All Seed 123 & Science None,1.0
llama_2_7b-tulu_none-science_1000-seed_123,llama_2_7b,tulu_none,0.0,science_1000,1.0,N/A,0.3712962962962964,0.31203703703703706,0.12317073170731707,0.20035541932959436,0.125,0.065,0.40962825808289416,0.4364050705027774,0.8515714285714285,0.33047735618115054,0.5412327208055109,0.1501161014113701,0.053549190535491904,0.34802,0.61871,0.5607,0.00284,0.54415,0.26354,0.09096,0.35614,0.57,0.347,0.35614,0.14842857142857147,0.25385566852687985,0.27249597658243874,0.347,Llama 2 7B -> Tulu None Seed 123 & Science 1000,0.0
llama_2_7b-tulu_none-science_1000-seed_52830,llama_2_7b,tulu_none,0.0,science_1000,1.0,N/A,0.3916666666666667,0.32407407407407407,0.12317073170731707,0.20035541932959436,0.125,0.065,0.40962825808289416,0.4366187152827233,0.8512857142857143,0.32558139534883723,0.5412327208055109,0.1501161014113701,0.047263681592039794,0.34802,0.61229,0.5607,0.00284,0.54415,0.26423,0.09096,0.35614,0.57,0.34648,0.35614,0.1487142857142857,0.2559330562930346,0.2736803034424786,0.34648,Llama 2 7B -> Tulu None Seed 52830 & Science 1000,0.0
tulu_2_7b_continued_ft-tulu_none-science_200,tulu_2_7b_continued_ft,tulu_none,0.0,science_200,1.0,N/A,0.3888888888888889,0.3824074074074075,0.17317073170731706,0.2683630790036061,0.21,0.065,0.46524711579547073,0.49038598490243557,0.8624285714285714,0.40636474908200737,0.5507539033159484,0.14111589413655018,0.1093167701863354,0.35743,0.49912,0.58054,0.0,0.46025,0.16816,0.00043,0.34783,0.62651,0.30763,0.34783,0.13757142857142857,0.29041100050935764,0.3170632418554607,0.30763,Tulu 2 7B -> Tulu None & Science 200,0.0
